;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
28 Mar.;;0;0;3;0;0;;0;0;;0;;3;1;2;;0;;0;0;4;;0;;;0;0;0;;2;0;;7;0;7;0;1;0;0;0;2;;0;0;;0;0;0;32;0;;
29 Mar.;;0;0;39;0;0;;0;0;;0;;0;2;24;;0;;0;0;19;;0;;;0;0;0;;5;0;;20;0;54;5;9;18;0;0;2;;0;0;;5;0;5;207;0;;
30 Mar.;;0;0;7;0;0;;0;0;;0;;1;2;9;;0;;0;0;19;;0;;;0;0;0;;3;2;;7;0;61;0;13;10;0;0;1;;0;0;;4;0;8;147;0;;
31 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;4;0;1;0;0;0;0;;0;0;;0;0;0;7;0;;
1  Abr.;;0;0;2;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;1;0;;9;0;8;1;0;2;0;0;0;;0;0;;0;0;0;26;0;;
2  Abr.;;0;0;20;0;0;;0;0;;0;;0;0;7;;0;;0;0;14;;0;;;0;0;0;;26;1;;9;2;116;1;10;20;0;0;6;;0;0;;5;0;8;245;0;;
3  Abr.;;0;0;9;0;0;;0;0;;0;;0;4;13;;0;;0;0;7;;0;;;0;0;0;;18;0;;10;4;110;5;8;17;0;2;1;;0;0;;4;0;7;219;0;;
4  Abr.;;0;0;1;0;0;;0;0;;0;;0;0;4;;0;;0;0;2;;0;;;0;0;0;;1;0;;2;0;11;0;1;2;0;0;0;;0;0;;1;0;0;25;0;;
5  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;5;0;0;0;0;0;0;;0;0;;0;0;0;5;0;;
6  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;6;0;0;0;0;0;0;;0;0;;0;0;0;7;0;;
7  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;10;0;0;0;0;0;0;;0;0;;0;0;0;11;0;;
8  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;2;0;0;1;0;0;0;;0;0;;0;0;0;4;0;;
9  Abr.;;0;0;2;0;1;;0;0;;0;;0;0;4;;0;;0;0;8;;0;;;0;0;0;;4;0;;5;0;77;1;5;18;0;1;2;;0;0;;1;0;2;131;0;;
10 Abri.;;0;0;1;0;4;;1;0;;0;;0;0;46;;0;;1;0;17;;0;;;0;0;0;;16;0;;20;6;149;4;7;59;0;3;2;;0;0;;0;0;5;341;0;;
11 Abri.;;0;0;1;0;3;;1;0;;0;;0;0;26;;0;;1;0;13;;1;;;0;0;0;;9;0;;8;1;100;2;7;23;0;1;2;;0;0;;2;0;4;205;0;;
12 Abri.;;0;0;5;0;8;;1;0;;0;;0;0;6;;0;;0;0;29;;5;;;0;0;0;;8;0;;10;2;93;4;8;47;0;1;3;;0;0;;6;0;5;241;0;;
13 Abri.;;0;1;1;0;5;;0;0;;0;;1;0;22;;0;;0;0;38;;1;;;0;0;0;;9;1;;17;1;155;3;7;31;0;2;2;;0;0;;4;0;7;308;0;;
14 Abri.;;0;0;2;0;7;;1;0;;0;;0;0;21;;0;;0;0;25;;2;;;0;1;0;;9;1;;17;3;69;3;7;59;0;0;6;;1;0;;2;0;6;242;0;;
15 Abri.;;0;0;0;0;5;;0;0;;0;;0;0;15;;0;;0;0;7;;0;;;0;0;0;;13;1;;14;2;35;2;6;55;0;1;1;;0;0;;13;0;2;172;0;;
16 Abri.;;0;0;0;0;4;;1;0;;0;;0;0;6;;0;;0;0;5;;0;;;0;0;0;;2;0;;4;0;26;1;4;17;0;2;1;;0;0;;4;0;4;81;0;;
17 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;6;1;1;1;0;0;1;;0;0;;0;0;0;14;0;;
18 Abri.;;0;0;0;0;26;;0;0;;0;;0;0;1;;0;;0;0;6;;0;;;0;0;0;;3;0;;13;0;1;0;0;2;0;0;1;;0;0;;0;0;1;54;0;;
19 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;2;0;1;0;0;0;0;;0;0;;0;0;1;7;0;;
20 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;2;;0;;0;0;1;;0;;;0;1;0;;1;0;;1;0;1;0;1;1;0;0;0;;0;0;;0;0;1;12;0;;
21 Abri.;;0;0;0;0;22;;0;0;;0;;0;0;1;;0;;0;0;2;;0;;;0;0;0;;1;0;;1;2;1;4;4;19;0;1;0;;0;0;;0;0;2;60;0;;
22 Abri.;;0;0;4;0;0;;1;0;;0;;0;0;14;;1;;0;1;15;;4;;;0;0;0;;30;1;;18;6;38;12;25;120;0;5;4;;0;0;;4;0;18;321;1;;
23 Abri.;;0;0;1;0;17;;1;0;;0;;0;0;0;;0;;0;0;18;;2;;;0;1;0;;48;1;;74;12;62;18;25;194;0;2;5;;0;0;;0;0;18;499;0;;
24 Abri.;;0;0;0;0;5;;1;0;;0;;0;0;4;;0;;0;0;4;;2;;;0;1;0;;4;2;;133;1;25;4;5;56;0;3;0;;0;0;;0;0;5;255;1;;
25 Abri.;;0;0;0;0;2;;0;0;;0;;1;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;1;0;1;3;0;1;1;;0;0;;0;0;4;16;0;;
26 Abri.;;0;0;0;0;6;;0;0;;0;;1;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;17;0;4;0;0;1;0;0;0;;0;0;;0;0;0;30;0;;
27 Abri.;;0;0;0;0;3;;1;0;;0;;0;0;2;;0;;0;0;2;;0;;;0;0;0;;1;0;;17;1;1;1;2;5;0;1;1;;0;0;;0;0;1;39;0;;
28 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;1;1;;3;0;5;1;2;4;0;1;0;;0;0;;0;0;1;22;0;;
29 Abri.;;0;0;0;0;5;;1;0;;0;;0;0;0;;0;;0;0;2;;0;;;0;0;0;;2;0;;8;2;2;3;1;10;0;0;0;;0;0;;0;0;5;41;0;;
30 Abri.;;0;0;1;0;1;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;2;1;;1;0;2;0;0;1;0;0;0;;0;0;;0;0;0;10;0;;
1  May.;;0;0;0;0;12;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;1;0;;5;0;1;0;0;6;0;1;0;;0;0;;0;0;1;28;0;;
2  May.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;2;2;1;1;0;0;0;;0;1;;0;0;2;13;0;;
3  May.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;2;1;0;1;0;2;0;0;0;;0;0;;0;0;0;8;0;;
